sigun,평균 m_dt개
강원도 강릉시,-0.13288358
강원도 동해시,0.038858797
강원도 삼척시,-0.021939266
강원도 속초시,0.0669322
강원도 원주시,0.061588798
강원도 춘천시,0.1414518
강원도 태백시,-0.08732436
경기도 고양시 덕양구,0.13544099
경기도 고양시 일산동구,0.031789996
경기도 고양시 일산서구,0.017213235
경기도 과천시,0.44614625
경기도 광명시,0.0218685
경기도 광주시,-0.0034431454
경기도 구리시,0.030039357
경기도 군포시,0.034744833
경기도 김포시,0.05196959
경기도 남양주시,0.09945451
경기도 동두천시,0.023561206
경기도 부천시 소사구,0.055195656
경기도 부천시 오정구,0.03303797
경기도 부천시 원미구,0.0983877
경기도 성남시 분당구,0.21164171
경기도 성남시 수정구,0.22825113
경기도 성남시 중원구,0.116230406
경기도 수원시 권선구,0.072202705
경기도 수원시 영통구,0.22282743
경기도 수원시 장안구,0.10849356
경기도 수원시 팔달구,0.16127984
경기도 시흥시,0.13925733
경기도 안산시 단원구,0.029424174
경기도 안산시 상록구,-0.0044472865
경기도 안성시,-0.008869797
경기도 안양시 동안구,0.14540903
경기도 안양시 만안구,0.10346622
경기도 양주시,0.012892334
경기도 여주시,0.044929948
경기도 오산시,0.011333364
경기도 용인시 기흥구,0.028708695
경기도 용인시 수지구,0.16756272
경기도 용인시 처인구,0.0044828258
경기도 의왕시,0.100051664
경기도 의정부시,0.05944223
경기도 이천시,-0.018186465
경기도 파주시,0.06423944
경기도 평택시,0.004355344
경기도 포천시,0.013559035
경기도 하남시,0.13252467
경기도 화성시,0.106898434
경상남도 거제시,-0.19538571
경상남도 김해시,0.063188635
경상남도 밀양시,-0.00047793312
경상남도 사천시,0.044121332
경상남도 양산시,-0.058528237
경상남도 진주시,0.09066733
경상남도 창원시 마산합포구,0.0008360692
경상남도 창원시 마산회원구,-0.011121104
경상남도 창원시 성산구,-0.02010795
경상남도 창원시 의창구,0.014001784
경상남도 창원시 진해구,-0.062186237
경상남도 통영시,-0.04151528
경상북도 경산시,-0.05443082
경상북도 경주시,-0.010018927
경상북도 구미시,-0.108193375
경상북도 김천시,-0.03280682
경상북도 문경시,0.08265264
경상북도 상주시,0.21363817
경상북도 안동시,0.15359534
경상북도 영주시,0.11182358
경상북도 영천시,0.17350498
경상북도 칠곡군,-0.10466748
경상북도 포항시 남구,-0.004722806
경상북도 포항시 북구,-0.06484968
광주광역시 광산구,-0.030477215
광주광역시 남구,-0.040888876
광주광역시 동구,-0.06696771
광주광역시 북구,-0.01776297
광주광역시 서구,0.01416416
대구광역시 남구,-0.07659141
대구광역시 달서구,-0.12301841
대구광역시 달성군,-0.13253537
대구광역시 동구,-0.044046476
대구광역시 북구,-0.07143061
대구광역시 서구,-0.2041615
대구광역시 수성구,-0.03003877
대구광역시 중구,-0.06923623
대전광역시 대덕구,0.025798948
대전광역시 동구,-0.03334602
대전광역시 서구,0.035340145
대전광역시 유성구,-0.06853078
대전광역시 중구,-0.08915305
부산광역시 강서구,-0.044090707
부산광역시 금정구,-0.05218865
부산광역시 기장군,-0.013181351
부산광역시 남구,-0.070989035
부산광역시 동구,-0.0033355933
부산광역시 동래구,-0.045104425
부산광역시 부산진구,-0.1340699
부산광역시 북구,-0.0243635
부산광역시 사상구,-0.04508879
부산광역시 사하구,-0.04335996
부산광역시 서구,-0.016515793
부산광역시 수영구,0.11530051
부산광역시 연제구,0.025392212
부산광역시 영도구,-0.03232489
부산광역시 중구,-0.08034334
부산광역시 해운대구,-0.021980798
서울특별시 강남구,0.41286325
서울특별시 강동구,0.36303523
서울특별시 강북구,0.101202294
서울특별시 강서구,0.16109926
서울특별시 관악구,0.07580719
서울특별시 광진구,0.30826905
서울특별시 구로구,0.1680491
서울특별시 금천구,0.13134044
서울특별시 노원구,0.10451097
서울특별시 도봉구,0.048339497
서울특별시 동대문구,0.20681974
서울특별시 동작구,0.35139218
서울특별시 마포구,0.37891552
서울특별시 서대문구,0.29006508
서울특별시 서초구,0.52807623
서울특별시 성동구,0.5611162
서울특별시 성북구,0.2973206
서울특별시 송파구,0.5459135
서울특별시 양천구,0.1652882
서울특별시 영등포구,0.23400262
서울특별시 용산구,0.35498613
서울특별시 은평구,0.17707005
서울특별시 종로구,0.215309
서울특별시 중구,0.25300035
서울특별시 중랑구,0.170127
세종특별자치시,-0.050754536
울산광역시 남구,0.0026908955
울산광역시 동구,-0.005166994
울산광역시 북구,-0.00006427257
울산광역시 울주군,-0.009101107
울산광역시 중구,0.0197357
인천광역시 계양구,0.05006427
인천광역시 남동구,0.1288058
인천광역시 동구,0.09732719
인천광역시 미추홀구,0.20251061
인천광역시 부평구,0.18206456
인천광역시 서구,0.38504437
인천광역시 연수구,0.045791294
인천광역시 중구,0.101241216
전라남도 광양시,-0.08304759
전라남도 나주시,-0.039671008
전라남도 목포시,0.0036260197
전라남도 무안군,0.028789418
전라남도 순천시,-0.023229536
전라남도 여수시,0.07190883
전라북도 군산시,-0.08724769
전라북도 김제시,-0.053521294
전라북도 남원시,0.008892216
전라북도 익산시,-0.16557091
전라북도 전주시 덕진구,0.11021605
전라북도 전주시 완산구,0.045522172
전라북도 정읍시,0.14558557
제주특별자치도 서귀포시,-0.021540819
제주특별자치도 제주시,-0.060235165
충청남도 계룡시,-0.009228627
충청남도 공주시,0.017855274
충청남도 논산시,-0.0044127363
충청남도 당진시,-0.07667158
충청남도 보령시,0.034789428
충청남도 서산시,-0.06261272
충청남도 아산시,-0.041962136
충청남도 예산군,0.09532247
충청남도 천안시 동남구,-0.025913162
충청남도 천안시 서북구,0.042072337
충청남도 홍성군,-0.06860404
충청북도 음성군,0.022097308
충청북도 제천시,0.06624736
충청북도 청주시 상당구,0.046126425
충청북도 청주시 서원구,0.015854795
충청북도 청주시 청원구,0.04388373
충청북도 청주시 흥덕구,-0.060881592
충청북도 충주시,-0.02049698
